Parish,Cases,DateTime,FID,x,y
Red River,,"3/27/2020, 11:00 AM",1,-10390550.14,3775561.315
Richland,2,"3/27/2020, 11:00 AM",2,-10211648.59,3824147.526
Ouachita,,"3/18/2020, 11:00 AM",3,-10258625.41,3826287.704
Sabine,,"3/27/2020, 11:00 AM",4,-10411411.41,3707251.332
St. Bernard,31,"3/27/2020, 11:00 AM",5,-9993785.21,3485216.395
St. Charles,23,"3/27/2020, 11:00 AM",6,-10059096.35,3488646.539
Out of State,,"3/18/2020, 11:00 AM",7,0,0
Parish Under Investigation,,"3/18/2020, 11:00 AM",8,0,0
St. Helena,,"3/27/2020, 11:00 AM",9,-10097824.41,3609672.115
Plaquemines,,"3/18/2020, 11:00 AM",10,-10001555.31,3456784.848
St. James,40,"3/27/2020, 11:00 AM",11,-10107397.88,3506939.912
Pointe Coupee,,"3/18/2020, 11:00 AM",12,-10193113.89,3581957.375
St. John the Baptist,41,"3/27/2020, 11:00 AM",13,-10079623.67,3513462.898
St. Landry,10,"3/27/2020, 11:00 AM",14,-10242038.81,3580798.537
Rapides,,"3/18/2020, 11:00 AM",15,-10300748.71,3658620.138
St. Martin,10,"3/27/2020, 11:00 AM",16,-10210980.67,3532937.295
St. Mary,6,"3/27/2020, 11:00 AM",17,-10180345.54,3468099.931
Red River,,"3/18/2020, 11:00 AM",18,-10390550.14,3775561.315
St. Tammany,111,"3/27/2020, 11:00 AM",19,-10011930.29,3561118.535
Tangipahoa,7,"3/27/2020, 11:00 AM",20,-10064617.8,3586895.275
Richland,,"3/18/2020, 11:00 AM",21,-10211648.59,3824147.526
Tensas,,"3/27/2020, 11:00 AM",22,-10167922.29,3763563.972
Terrebonne,23,"3/27/2020, 11:00 AM",23,-10113097.44,3431495.998
Sabine,,"3/18/2020, 11:00 AM",24,-10411411.41,3707251.332
Union,4,"3/27/2020, 11:00 AM",25,-10283126.83,3873039.193
St. Bernard,2,"3/18/2020, 11:00 AM",26,-9993785.21,3485216.395
Vermilion,2,"3/27/2020, 11:00 AM",27,-10277416.14,3483772.466
St. Charles,3,"3/18/2020, 11:00 AM",28,-10059096.35,3488646.539
St. Helena,,"3/18/2020, 11:00 AM",29,-10097824.41,3609672.115
Vernon,2,"3/27/2020, 11:00 AM",30,-10373206.56,3646859.666
St. James,,"3/18/2020, 11:00 AM",31,-10107397.88,3506939.912
St. John the Baptist,1,"3/18/2020, 11:00 AM",32,-10079623.67,3513462.898
Washington,8,"3/27/2020, 11:00 AM",33,-10023262.61,3613735.316
St. Landry,,"3/18/2020, 11:00 AM",34,-10242038.81,3580798.537
St. Martin,,"3/18/2020, 11:00 AM",35,-10210980.67,3532937.295
Webster,9,"3/27/2020, 11:00 AM",36,-10390004.67,3857402.163
St. Mary,,"3/18/2020, 11:00 AM",37,-10180345.54,3468099.931
St. Tammany,6,"3/18/2020, 11:00 AM",38,-10011930.29,3561118.535
West Baton Rouge,11,"3/27/2020, 11:00 AM",39,-10164894.4,3563268.667
West Carroll,,"3/27/2020, 11:00 AM",40,-10180913.27,3867302.808
Tangipahoa,,"3/18/2020, 11:00 AM",41,-10064617.8,3586895.275
Tensas,,"3/18/2020, 11:00 AM",42,-10167922.29,3763563.972
West Feliciana,1,"3/27/2020, 11:00 AM",43,-10176004.08,3616641.565
Winn,1,"3/27/2020, 11:00 AM",44,-10312270.27,3756026.281
Terrebonne,3,"3/18/2020, 11:00 AM",45,-10113097.44,3431495.998
Union,,"3/18/2020, 11:00 AM",46,-10283126.83,3873039.193
Acadia,9,"3/28/2020, 11:00 AM",47,-10287256.78,3540974.193
Allen,7,"3/28/2020, 11:00 AM",48,-10333543.43,3587782.932
Vermilion,,"3/18/2020, 11:00 AM",49,-10277416.14,3483772.466
Vernon,,"3/18/2020, 11:00 AM",50,-10373206.56,3646859.666
Ascension,107,"3/28/2020, 11:00 AM",51,-10120199.62,3529750.239
Assumption,8,"3/28/2020, 11:00 AM",52,-10137042.26,3490821.665
Washington,1,"3/18/2020, 11:00 AM",53,-10023262.61,3613735.316
Webster,,"3/18/2020, 11:00 AM",54,-10390004.67,3857402.163
Avoyelles,12,"3/28/2020, 11:00 AM",55,-10241549,3642689.415
Beauregard,4,"3/28/2020, 11:00 AM",56,-10390928.62,3587216.17
West Baton Rouge,,"3/18/2020, 11:00 AM",57,-10164894.4,3563268.667
West Carroll,,"3/18/2020, 11:00 AM",58,-10180913.27,3867302.808
Bienville,3,"3/28/2020, 11:00 AM",59,-10358946.54,3809003.115
Bossier,45,"3/28/2020, 11:00 AM",60,-10420083.2,3852857.003
West Feliciana,,"3/18/2020, 11:00 AM",61,-10176004.08,3616641.565
Winn,,"3/18/2020, 11:00 AM",62,-10312270.27,3756026.281
Caddo,189,"3/28/2020, 11:00 AM",63,-10450952.09,3839827.799
Calcasieu,28,"3/28/2020, 11:00 AM",64,-10392565.02,3533072.576
Acadia,,"3/19/2020, 11:00 AM",65,-10287256.78,3540974.193
Allen,,"3/19/2020, 11:00 AM",66,-10333543.43,3587782.932
Caldwell,,"3/28/2020, 11:00 AM",67,-10254373.01,3775449.626
Ascension,2,"3/19/2020, 11:00 AM",68,-10120199.62,3529750.239
Cameron,,"3/28/2020, 11:00 AM",69,-10370134.14,3493112.752
Assumption,,"3/19/2020, 11:00 AM",70,-10137042.26,3490821.665
Catahoula,1,"3/28/2020, 11:00 AM",71,-10230428.18,3715327.443
Avoyelles,,"3/19/2020, 11:00 AM",72,-10241549,3642689.415
Claiborne,4,"3/28/2020, 11:00 AM",73,-10352233.97,3871825.723
Beauregard,,"3/19/2020, 11:00 AM",74,-10390928.62,3587216.17
Concordia,,"3/28/2020, 11:00 AM",75,-10201318.14,3690859.394
Bienville,,"3/19/2020, 11:00 AM",76,-10358946.54,3809003.115
De Soto,21,"3/28/2020, 11:00 AM",77,-10434577,3770825.301
Bossier,2,"3/19/2020, 11:00 AM",78,-10420083.2,3852857.003
East Baton Rouge,153,"3/28/2020, 11:00 AM",79,-10140715.81,3572952.045
East Carroll,1,"3/28/2020, 11:00 AM",80,-10156233.74,3859896.395
Caddo,7,"3/19/2020, 11:00 AM",81,-10450952.09,3839827.799
East Feliciana,6,"3/28/2020, 11:00 AM",82,-10135138.7,3612660.396
Calcasieu,,"3/19/2020, 11:00 AM",83,-10392565.02,3533072.576
Evangeline,4,"3/28/2020, 11:00 AM",84,-10286577.73,3597627.731
Caldwell,,"3/19/2020, 11:00 AM",85,-10254373.01,3775449.626
Franklin,4,"3/28/2020, 11:00 AM",86,-10205069.6,3780849.991
Cameron,,"3/19/2020, 11:00 AM",87,-10370134.14,3493112.752
Grant,1,"3/28/2020, 11:00 AM",88,-10303676.41,3710901.191
Catahoula,,"3/19/2020, 11:00 AM",89,-10230428.18,3715327.443
Iberia,9,"3/28/2020, 11:00 AM",90,-10213919.5,3499442.345
Claiborne,,"3/19/2020, 11:00 AM",91,-10352233.97,3871825.723
Iberville,21,"3/28/2020, 11:00 AM",92,-10170170.94,3531648.979
Concordia,,"3/19/2020, 11:00 AM",93,-10201318.14,3690859.394
Jackson,2,"3/28/2020, 11:00 AM",94,-10303487.16,3803043.454
De Soto,,"3/19/2020, 11:00 AM",95,-10434577,3770825.301
Jefferson,744,"3/28/2020, 11:00 AM",96,-10033014.2,3468945.983
East Baton Rouge,5,"3/19/2020, 11:00 AM",97,-10140715.81,3572952.045
Jefferson Davis,1,"3/28/2020, 11:00 AM",98,-10332018.35,3538039.026
East Carroll,,"3/19/2020, 11:00 AM",99,-10156233.74,3859896.395
La Salle,2,"3/28/2020, 11:00 AM",100,-10259259.93,3720999.218
East Feliciana,,"3/19/2020, 11:00 AM",101,-10135138.7,3612660.396
Evangeline,,"3/19/2020, 11:00 AM",102,-10286577.73,3597627.731
Franklin,,"3/19/2020, 11:00 AM",103,-10205069.6,3780849.991
Grant,,"3/19/2020, 11:00 AM",104,-10303676.41,3710901.191
Iberia,,"3/19/2020, 11:00 AM",105,-10213919.5,3499442.345
Iberville,,"3/19/2020, 11:00 AM",106,-10170170.94,3531648.979
Jackson,,"3/19/2020, 11:00 AM",107,-10303487.16,3803043.454
Jefferson,62,"3/19/2020, 11:00 AM",108,-10033014.2,3468945.983
Jefferson Davis,,"3/19/2020, 11:00 AM",109,-10332018.35,3538039.026
La Salle,,"3/19/2020, 11:00 AM",110,-10259259.93,3720999.218
Lafayette,2,"3/19/2020, 11:00 AM",111,-10248506.47,3530168.865
Lafourche,4,"3/19/2020, 11:00 AM",112,-10067322.87,3448429.516
Lincoln,,"3/19/2020, 11:00 AM",113,-10315398.35,3842561.46
Livingston,,"3/19/2020, 11:00 AM",114,-10101041.54,3561580.815
Madison,,"3/19/2020, 11:00 AM",115,-10157391.47,3811637.433
Morehouse,,"3/19/2020, 11:00 AM",116,-10219329.63,3871499.856
Natchitoches,,"3/19/2020, 11:00 AM",117,-10363432.71,3727167.025
Orleans,231,"3/19/2020, 11:00 AM",118,-10005685.26,3512320.62
Ouachita,,"3/19/2020, 11:00 AM",119,-10258625.41,3826287.704
Out of State,,"3/19/2020, 11:00 AM",120,0,0
Parish Under Investigation,3,"3/19/2020, 11:00 AM",121,0,0
Plaquemines,1,"3/19/2020, 11:00 AM",122,-10001555.31,3456784.848
Pointe Coupee,,"3/19/2020, 11:00 AM",123,-10193113.89,3581957.375
Rapides,,"3/19/2020, 11:00 AM",124,-10300748.71,3658620.138
Red River,,"3/19/2020, 11:00 AM",125,-10390550.14,3775561.315
Richland,,"3/19/2020, 11:00 AM",126,-10211648.59,3824147.526
Sabine,,"3/19/2020, 11:00 AM",127,-10411411.41,3707251.332
St. Bernard,4,"3/19/2020, 11:00 AM",128,-9993785.21,3485216.395
St. Charles,4,"3/19/2020, 11:00 AM",129,-10059096.35,3488646.539
St. Helena,,"3/19/2020, 11:00 AM",130,-10097824.41,3609672.115
St. James,1,"3/19/2020, 11:00 AM",131,-10107397.88,3506939.912
St. John the Baptist,2,"3/19/2020, 11:00 AM",132,-10079623.67,3513462.898
St. Landry,,"3/19/2020, 11:00 AM",133,-10242038.81,3580798.537
St. Martin,,"3/19/2020, 11:00 AM",134,-10210980.67,3532937.295
St. Mary,,"3/19/2020, 11:00 AM",135,-10180345.54,3468099.931
St. Tammany,10,"3/19/2020, 11:00 AM",136,-10011930.29,3561118.535
Tangipahoa,,"3/19/2020, 11:00 AM",137,-10064617.8,3586895.275
Tensas,,"3/19/2020, 11:00 AM",138,-10167922.29,3763563.972
Terrebonne,4,"3/19/2020, 11:00 AM",139,-10113097.44,3431495.998
Union,,"3/19/2020, 11:00 AM",140,-10283126.83,3873039.193
Vermilion,,"3/19/2020, 11:00 AM",141,-10277416.14,3483772.466
Vernon,,"3/19/2020, 11:00 AM",142,-10373206.56,3646859.666
Washington,2,"3/19/2020, 11:00 AM",143,-10023262.61,3613735.316
Webster,,"3/19/2020, 11:00 AM",144,-10390004.67,3857402.163
West Baton Rouge,1,"3/19/2020, 11:00 AM",145,-10164894.4,3563268.667
West Carroll,,"3/19/2020, 11:00 AM",146,-10180913.27,3867302.808
West Feliciana,,"3/19/2020, 11:00 AM",147,-10176004.08,3616641.565
Winn,,"3/19/2020, 11:00 AM",148,-10312270.27,3756026.281
Acadia,,"3/20/2020, 11:00 AM",149,-10287256.78,3540974.193
Allen,,"3/20/2020, 11:00 AM",150,-10333543.43,3587782.932
Ascension,2,"3/20/2020, 11:00 AM",151,-10120199.62,3529750.239
Assumption,1,"3/20/2020, 11:00 AM",152,-10137042.26,3490821.665
Lafayette,48,"3/28/2020, 11:00 AM",153,-10248506.47,3530168.865
Lafourche,34,"3/28/2020, 11:00 AM",154,-10067322.87,3448429.516
Lincoln,6,"3/28/2020, 11:00 AM",155,-10315398.35,3842561.46
Livingston,12,"3/28/2020, 11:00 AM",156,-10101041.54,3561580.815
Madison,1,"3/28/2020, 11:00 AM",157,-10157391.47,3811637.433
Morehouse,2,"3/28/2020, 11:00 AM",158,-10219329.63,3871499.856
Natchitoches,2,"3/28/2020, 11:00 AM",159,-10363432.71,3727167.025
Orleans,1298,"3/28/2020, 11:00 AM",160,-10005685.26,3512320.62
Ouachita,34,"3/28/2020, 11:00 AM",161,-10258625.41,3826287.704
Out of State,,"3/28/2020, 11:00 AM",162,0,0
Parish Under Investigation,9,"3/28/2020, 11:00 AM",163,0,0
Plaquemines,19,"3/28/2020, 11:00 AM",164,-10001555.31,3456784.848
Pointe Coupee,2,"3/28/2020, 11:00 AM",165,-10193113.89,3581957.375
Rapides,37,"3/28/2020, 11:00 AM",166,-10300748.71,3658620.138
Red River,,"3/28/2020, 11:00 AM",167,-10390550.14,3775561.315
Richland,2,"3/28/2020, 11:00 AM",168,-10211648.59,3824147.526
Sabine,,"3/28/2020, 11:00 AM",169,-10411411.41,3707251.332
St. Bernard,43,"3/28/2020, 11:00 AM",170,-9993785.21,3485216.395
St. Charles,30,"3/28/2020, 11:00 AM",171,-10059096.35,3488646.539
St. Helena,,"3/28/2020, 11:00 AM",172,-10097824.41,3609672.115
St. James,48,"3/28/2020, 11:00 AM",173,-10107397.88,3506939.912
St. John the Baptist,54,"3/28/2020, 11:00 AM",174,-10079623.67,3513462.898
St. Landry,10,"3/28/2020, 11:00 AM",175,-10242038.81,3580798.537
St. Martin,13,"3/28/2020, 11:00 AM",176,-10210980.67,3532937.295
St. Mary,7,"3/28/2020, 11:00 AM",177,-10180345.54,3468099.931
St. Tammany,134,"3/28/2020, 11:00 AM",178,-10011930.29,3561118.535
Tangipahoa,10,"3/28/2020, 11:00 AM",179,-10064617.8,3586895.275
Tensas,,"3/28/2020, 11:00 AM",180,-10167922.29,3763563.972
Terrebonne,26,"3/28/2020, 11:00 AM",181,-10113097.44,3431495.998
Union,7,"3/28/2020, 11:00 AM",182,-10283126.83,3873039.193
Vermilion,3,"3/28/2020, 11:00 AM",183,-10277416.14,3483772.466
Vernon,2,"3/28/2020, 11:00 AM",184,-10373206.56,3646859.666
Washington,10,"3/28/2020, 11:00 AM",185,-10023262.61,3613735.316
Webster,9,"3/28/2020, 11:00 AM",186,-10390004.67,3857402.163
West Baton Rouge,12,"3/28/2020, 11:00 AM",187,-10164894.4,3563268.667
West Carroll,,"3/28/2020, 11:00 AM",188,-10180913.27,3867302.808
West Feliciana,4,"3/28/2020, 11:00 AM",189,-10176004.08,3616641.565
Winn,1,"3/28/2020, 11:00 AM",190,-10312270.27,3756026.281
Acadia,9,"3/29/2020, 11:00 AM",191,-10287256.78,3540974.193
Allen,9,"3/29/2020, 11:00 AM",192,-10333543.43,3587782.932
Ascension,139,"3/29/2020, 11:00 AM",193,-10120199.62,3529750.239
Assumption,14,"3/29/2020, 11:00 AM",194,-10137042.26,3490821.665
Avoyelles,13,"3/29/2020, 11:00 AM",195,-10241549,3642689.415
Beauregard,4,"3/29/2020, 11:00 AM",196,-10390928.62,3587216.17
Bienville,3,"3/29/2020, 11:00 AM",197,-10358946.54,3809003.115
Bossier,56,"3/29/2020, 11:00 AM",198,-10420083.2,3852857.003
Caddo,219,"3/29/2020, 11:00 AM",199,-10450952.09,3839827.799
Calcasieu,35,"3/29/2020, 11:00 AM",200,-10392565.02,3533072.576
Bienville,1,"3/23/2020, 11:00 AM",201,-10358946.54,3809003.115
Bossier,12,"3/23/2020, 11:00 AM",202,-10420083.2,3852857.003
Caddo,34,"3/23/2020, 11:00 AM",203,-10450952.09,3839827.799
Calcasieu,4,"3/23/2020, 11:00 AM",204,-10392565.02,3533072.576
Caldwell,,"3/23/2020, 11:00 AM",205,-10254373.01,3775449.626
Cameron,,"3/23/2020, 11:00 AM",206,-10370134.14,3493112.752
Catahoula,1,"3/23/2020, 11:00 AM",207,-10230428.18,3715327.443
Claiborne,2,"3/23/2020, 11:00 AM",208,-10352233.97,3871825.723
Concordia,,"3/23/2020, 11:00 AM",209,-10201318.14,3690859.394
De Soto,5,"3/23/2020, 11:00 AM",210,-10434577,3770825.301
East Baton Rouge,43,"3/23/2020, 11:00 AM",211,-10140715.81,3572952.045
East Carroll,,"3/23/2020, 11:00 AM",212,-10156233.74,3859896.395
East Feliciana,,"3/23/2020, 11:00 AM",213,-10135138.7,3612660.396
Evangeline,2,"3/23/2020, 11:00 AM",214,-10286577.73,3597627.731
Franklin,,"3/23/2020, 11:00 AM",215,-10205069.6,3780849.991
Grant,1,"3/23/2020, 11:00 AM",216,-10303676.41,3710901.191
Iberia,3,"3/23/2020, 11:00 AM",217,-10213919.5,3499442.345
Iberville,10,"3/23/2020, 11:00 AM",218,-10170170.94,3531648.979
Jackson,,"3/23/2020, 11:00 AM",219,-10303487.16,3803043.454
Jefferson,252,"3/23/2020, 11:00 AM",220,-10033014.2,3468945.983
Jefferson Davis,,"3/23/2020, 11:00 AM",221,-10332018.35,3538039.026
La Salle,,"3/23/2020, 11:00 AM",222,-10259259.93,3720999.218
Lafayette,9,"3/23/2020, 11:00 AM",223,-10248506.47,3530168.865
Lafourche,15,"3/23/2020, 11:00 AM",224,-10067322.87,3448429.516
Lincoln,2,"3/23/2020, 11:00 AM",225,-10315398.35,3842561.46
Livingston,5,"3/23/2020, 11:00 AM",226,-10101041.54,3561580.815
Madison,,"3/23/2020, 11:00 AM",227,-10157391.47,3811637.433
Morehouse,,"3/23/2020, 11:00 AM",228,-10219329.63,3871499.856
Natchitoches,2,"3/23/2020, 11:00 AM",229,-10363432.71,3727167.025
Orleans,567,"3/23/2020, 11:00 AM",230,-10005685.26,3512320.62
Ouachita,9,"3/23/2020, 11:00 AM",231,-10258625.41,3826287.704
Out of State,,"3/23/2020, 11:00 AM",232,0,0
Parish Under Investigation,12,"3/23/2020, 11:00 AM",233,0,0
Plaquemines,8,"3/23/2020, 11:00 AM",234,-10001555.31,3456784.848
Pointe Coupee,,"3/23/2020, 11:00 AM",235,-10193113.89,3581957.375
Rapides,8,"3/23/2020, 11:00 AM",236,-10300748.71,3658620.138
Red River,,"3/23/2020, 11:00 AM",237,-10390550.14,3775561.315
Richland,2,"3/23/2020, 11:00 AM",238,-10211648.59,3824147.526
Sabine,,"3/23/2020, 11:00 AM",239,-10411411.41,3707251.332
St. Bernard,15,"3/23/2020, 11:00 AM",240,-9993785.21,3485216.395
St. Charles,15,"3/23/2020, 11:00 AM",241,-10059096.35,3488646.539
St. Helena,,"3/23/2020, 11:00 AM",242,-10097824.41,3609672.115
St. James,8,"3/23/2020, 11:00 AM",243,-10107397.88,3506939.912
St. John the Baptist,16,"3/23/2020, 11:00 AM",244,-10079623.67,3513462.898
St. Landry,3,"3/23/2020, 11:00 AM",245,-10242038.81,3580798.537
St. Martin,,"3/23/2020, 11:00 AM",246,-10210980.67,3532937.295
St. Mary,1,"3/23/2020, 11:00 AM",247,-10180345.54,3468099.931
St. Tammany,47,"3/23/2020, 11:00 AM",248,-10011930.29,3561118.535
Tangipahoa,3,"3/23/2020, 11:00 AM",249,-10064617.8,3586895.275
Tensas,,"3/23/2020, 11:00 AM",250,-10167922.29,3763563.972
Terrebonne,14,"3/23/2020, 11:00 AM",251,-10113097.44,3431495.998
Union,,"3/23/2020, 11:00 AM",252,-10283126.83,3873039.193
Vermilion,,"3/23/2020, 11:00 AM",253,-10277416.14,3483772.466
Vernon,,"3/23/2020, 11:00 AM",254,-10373206.56,3646859.666
Washington,2,"3/23/2020, 11:00 AM",255,-10023262.61,3613735.316
Webster,3,"3/23/2020, 11:00 AM",256,-10390004.67,3857402.163
West Baton Rouge,4,"3/23/2020, 11:00 AM",257,-10164894.4,3563268.667
West Carroll,,"3/23/2020, 11:00 AM",258,-10180913.27,3867302.808
West Feliciana,,"3/23/2020, 11:00 AM",259,-10176004.08,3616641.565
Winn,,"3/23/2020, 11:00 AM",260,-10312270.27,3756026.281
Acadia,2,"3/24/2020, 11:00 AM",261,-10287256.78,3540974.193
Allen,2,"3/24/2020, 11:00 AM",262,-10333543.43,3587782.932
Ascension,36,"3/24/2020, 11:00 AM",263,-10120199.62,3529750.239
Assumption,2,"3/24/2020, 11:00 AM",264,-10137042.26,3490821.665
