Parish,Cases,DateTime,FID,x,y
Orleans,997,"3/26/2020, 11:00 AM",529,-10005685.26,3512320.62
Ouachita,19,"3/26/2020, 11:00 AM",530,-10258625.41,3826287.704
Out of State,0,"3/26/2020, 11:00 AM",531,0,0
Parish Under Investigation,13,"3/26/2020, 11:00 AM",532,0,0
Plaquemines,13,"3/26/2020, 11:00 AM",533,-10001555.31,3456784.848
Pointe Coupee,1,"3/26/2020, 11:00 AM",534,-10193113.89,3581957.375
Rapides,25,"3/26/2020, 11:00 AM",535,-10300748.71,3658620.138
Red River,,"3/26/2020, 11:00 AM",536,-10390550.14,3775561.315
Richland,1,"3/26/2020, 11:00 AM",537,-10211648.59,3824147.526
Sabine,,"3/26/2020, 11:00 AM",538,-10411411.41,3707251.332
St. Bernard,28,"3/26/2020, 11:00 AM",539,-9993785.21,3485216.395
St. Charles,22,"3/26/2020, 11:00 AM",540,-10059096.35,3488646.539
St. Helena,,"3/26/2020, 11:00 AM",541,-10097824.41,3609672.115
St. James,29,"3/26/2020, 11:00 AM",542,-10107397.88,3506939.912
St. John the Baptist,38,"3/26/2020, 11:00 AM",543,-10079623.67,3513462.898
St. Landry,5,"3/26/2020, 11:00 AM",544,-10242038.81,3580798.537
St. Martin,3,"3/26/2020, 11:00 AM",545,-10210980.67,3532937.295
St. Mary,5,"3/26/2020, 11:00 AM",546,-10180345.54,3468099.931
St. Tammany,89,"3/26/2020, 11:00 AM",547,-10011930.29,3561118.535
Tangipahoa,7,"3/26/2020, 11:00 AM",548,-10064617.8,3586895.275
Tensas,,"3/26/2020, 11:00 AM",549,-10167922.29,3763563.972
Terrebonne,21,"3/26/2020, 11:00 AM",550,-10113097.44,3431495.998
Union,2,"3/26/2020, 11:00 AM",551,-10283126.83,3873039.193
Vermilion,1,"3/26/2020, 11:00 AM",552,-10277416.14,3483772.466
Vernon,2,"3/26/2020, 11:00 AM",553,-10373206.56,3646859.666
Washington,6,"3/26/2020, 11:00 AM",554,-10023262.61,3613735.316
Webster,8,"3/26/2020, 11:00 AM",555,-10390004.67,3857402.163
West Baton Rouge,8,"3/26/2020, 11:00 AM",556,-10164894.4,3563268.667
West Carroll,,"3/26/2020, 11:00 AM",557,-10180913.27,3867302.808
West Feliciana,,"3/26/2020, 11:00 AM",558,-10176004.08,3616641.565
Winn,1,"3/26/2020, 11:00 AM",559,-10312270.27,3756026.281
Acadia,8,"3/27/2020, 11:00 AM",560,-10287256.78,3540974.193
Allen,5,"3/27/2020, 11:00 AM",561,-10333543.43,3587782.932
Ascension,90,"3/27/2020, 11:00 AM",562,-10120199.62,3529750.239
Assumption,8,"3/27/2020, 11:00 AM",563,-10137042.26,3490821.665
Avoyelles,10,"3/27/2020, 11:00 AM",564,-10241549,3642689.415
Beauregard,4,"3/27/2020, 11:00 AM",565,-10390928.62,3587216.17
Bienville,1,"3/27/2020, 11:00 AM",566,-10358946.54,3809003.115
Bossier,37,"3/27/2020, 11:00 AM",567,-10420083.2,3852857.003
Caddo,140,"3/27/2020, 11:00 AM",568,-10450952.09,3839827.799
Calcasieu,22,"3/27/2020, 11:00 AM",569,-10392565.02,3533072.576
Caldwell,,"3/27/2020, 11:00 AM",570,-10254373.01,3775449.626
Cameron,,"3/27/2020, 11:00 AM",571,-10370134.14,3493112.752
Catahoula,1,"3/27/2020, 11:00 AM",572,-10230428.18,3715327.443
Claiborne,3,"3/27/2020, 11:00 AM",573,-10352233.97,3871825.723
Concordia,,"3/27/2020, 11:00 AM",574,-10201318.14,3690859.394
De Soto,13,"3/27/2020, 11:00 AM",575,-10434577,3770825.301
East Baton Rouge,124,"3/27/2020, 11:00 AM",576,-10140715.81,3572952.045
East Carroll,,"3/27/2020, 11:00 AM",577,-10156233.74,3859896.395
East Feliciana,5,"3/27/2020, 11:00 AM",578,-10135138.7,3612660.396
Evangeline,4,"3/27/2020, 11:00 AM",579,-10286577.73,3597627.731
Franklin,,"3/27/2020, 11:00 AM",580,-10205069.6,3780849.991
Grant,1,"3/27/2020, 11:00 AM",581,-10303676.41,3710901.191
Iberia,4,"3/27/2020, 11:00 AM",582,-10213919.5,3499442.345
Iberville,20,"3/27/2020, 11:00 AM",583,-10170170.94,3531648.979
Jackson,3,"3/27/2020, 11:00 AM",584,-10303487.16,3803043.454
Jefferson,548,"3/27/2020, 11:00 AM",585,-10033014.2,3468945.983
Jefferson Davis,1,"3/27/2020, 11:00 AM",586,-10332018.35,3538039.026
La Salle,1,"3/27/2020, 11:00 AM",587,-10259259.93,3720999.218
Lafayette,44,"3/27/2020, 11:00 AM",588,-10248506.47,3530168.865
Lafourche,30,"3/27/2020, 11:00 AM",589,-10067322.87,3448429.516
Lincoln,7,"3/27/2020, 11:00 AM",590,-10315398.35,3842561.46
Livingston,11,"3/27/2020, 11:00 AM",591,-10101041.54,3561580.815
Madison,1,"3/27/2020, 11:00 AM",592,-10157391.47,3811637.433
Morehouse,2,"3/27/2020, 11:00 AM",593,-10219329.63,3871499.856
Natchitoches,2,"3/27/2020, 11:00 AM",594,-10363432.71,3727167.025
Orleans,1170,"3/27/2020, 11:00 AM",595,-10005685.26,3512320.62
Ouachita,25,"3/27/2020, 11:00 AM",596,-10258625.41,3826287.704
Out of State,,"3/27/2020, 11:00 AM",597,0,0
Parish Under Investigation,16,"3/27/2020, 11:00 AM",598,0,0
Plaquemines,16,"3/27/2020, 11:00 AM",599,-10001555.31,3456784.848
Pointe Coupee,1,"3/27/2020, 11:00 AM",600,-10193113.89,3581957.375
Rapides,26,"3/27/2020, 11:00 AM",601,-10300748.71,3658620.138
Avoyelles,,"3/20/2020, 11:00 AM",602,-10241549,3642689.415
Orleans,65,"3/15/2020, 11:00 AM",603,-10005685.26,3512320.62
Ouachita,,"3/15/2020, 11:00 AM",604,-10258625.41,3826287.704
Out of State,,"3/15/2020, 11:00 AM",605,0,0
Parish Under Investigation,,"3/15/2020, 11:00 AM",606,0,0
Plaquemines,,"3/15/2020, 11:00 AM",607,-10001555.31,3456784.848
Pointe Coupee,,"3/15/2020, 11:00 AM",608,-10193113.89,3581957.375
Rapides,,"3/15/2020, 11:00 AM",609,-10300748.71,3658620.138
Red River,,"3/15/2020, 11:00 AM",610,-10390550.14,3775561.315
Richland,,"3/15/2020, 11:00 AM",611,-10211648.59,3824147.526
Sabine,,"3/15/2020, 11:00 AM",612,-10411411.41,3707251.332
St. Bernard,1,"3/15/2020, 11:00 AM",613,-9993785.21,3485216.395
St. Charles,2,"3/15/2020, 11:00 AM",614,-10059096.35,3488646.539
St. Helena,,"3/15/2020, 11:00 AM",615,-10097824.41,3609672.115
Beauregard,,"3/20/2020, 11:00 AM",616,-10390928.62,3587216.17
St. James,,"3/15/2020, 11:00 AM",617,-10107397.88,3506939.912
Bienville,,"3/20/2020, 11:00 AM",618,-10358946.54,3809003.115
St. John the Baptist,1,"3/15/2020, 11:00 AM",619,-10079623.67,3513462.898
Bossier,4,"3/20/2020, 11:00 AM",620,-10420083.2,3852857.003
St. Landry,,"3/15/2020, 11:00 AM",621,-10242038.81,3580798.537
Caddo,13,"3/20/2020, 11:00 AM",622,-10450952.09,3839827.799
St. Martin,,"3/15/2020, 11:00 AM",623,-10210980.67,3532937.295
St. Mary,,"3/15/2020, 11:00 AM",624,-10180345.54,3468099.931
St. Tammany,4,"3/15/2020, 11:00 AM",625,-10011930.29,3561118.535
Tangipahoa,,"3/15/2020, 11:00 AM",626,-10064617.8,3586895.275
Tensas,,"3/15/2020, 11:00 AM",627,-10167922.29,3763563.972
Terrebonne,2,"3/15/2020, 11:00 AM",628,-10113097.44,3431495.998
Union,,"3/15/2020, 11:00 AM",629,-10283126.83,3873039.193
Vermilion,,"3/15/2020, 11:00 AM",630,-10277416.14,3483772.466
Vernon,,"3/15/2020, 11:00 AM",631,-10373206.56,3646859.666
Washington,,"3/15/2020, 11:00 AM",632,-10023262.61,3613735.316
Webster,,"3/15/2020, 11:00 AM",633,-10390004.67,3857402.163
West Baton Rouge,,"3/15/2020, 11:00 AM",634,-10164894.4,3563268.667
West Carroll,,"3/15/2020, 11:00 AM",635,-10180913.27,3867302.808
West Feliciana,,"3/15/2020, 11:00 AM",636,-10176004.08,3616641.565
Winn,,"3/15/2020, 11:00 AM",637,-10312270.27,3756026.281
Acadia,,"3/16/2020, 11:00 AM",638,-10287256.78,3540974.193
Allen,,"3/16/2020, 11:00 AM",639,-10333543.43,3587782.932
Ascension,,"3/16/2020, 11:00 AM",640,-10120199.62,3529750.239
Assumption,,"3/16/2020, 11:00 AM",641,-10137042.26,3490821.665
Avoyelles,,"3/16/2020, 11:00 AM",642,-10241549,3642689.415
Beauregard,,"3/16/2020, 11:00 AM",643,-10390928.62,3587216.17
Bienville,,"3/16/2020, 11:00 AM",644,-10358946.54,3809003.115
Bossier,1,"3/16/2020, 11:00 AM",645,-10420083.2,3852857.003
Caddo,3,"3/16/2020, 11:00 AM",646,-10450952.09,3839827.799
Calcasieu,,"3/16/2020, 11:00 AM",647,-10392565.02,3533072.576
Caldwell,,"3/16/2020, 11:00 AM",648,-10254373.01,3775449.626
Cameron,,"3/16/2020, 11:00 AM",649,-10370134.14,3493112.752
Catahoula,,"3/16/2020, 11:00 AM",650,-10230428.18,3715327.443
Claiborne,,"3/16/2020, 11:00 AM",651,-10352233.97,3871825.723
Concordia,,"3/16/2020, 11:00 AM",652,-10201318.14,3690859.394
De Soto,,"3/16/2020, 11:00 AM",653,-10434577,3770825.301
East Baton Rouge,,"3/16/2020, 11:00 AM",654,-10140715.81,3572952.045
East Carroll,,"3/16/2020, 11:00 AM",655,-10156233.74,3859896.395
East Feliciana,,"3/16/2020, 11:00 AM",656,-10135138.7,3612660.396
Evangeline,,"3/16/2020, 11:00 AM",657,-10286577.73,3597627.731
Franklin,,"3/16/2020, 11:00 AM",658,-10205069.6,3780849.991
Grant,,"3/16/2020, 11:00 AM",659,-10303676.41,3710901.191
Iberia,,"3/16/2020, 11:00 AM",660,-10213919.5,3499442.345
Iberville,,"3/16/2020, 11:00 AM",661,-10170170.94,3531648.979
Jackson,,"3/16/2020, 11:00 AM",662,-10303487.16,3803043.454
Jefferson,16,"3/16/2020, 11:00 AM",663,-10033014.2,3468945.983
Jefferson Davis,,"3/16/2020, 11:00 AM",664,-10332018.35,3538039.026
La Salle,,"3/16/2020, 11:00 AM",665,-10259259.93,3720999.218
Lafayette,,"3/16/2020, 11:00 AM",666,-10248506.47,3530168.865
Lafourche,2,"3/16/2020, 11:00 AM",667,-10067322.87,3448429.516
Lincoln,,"3/16/2020, 11:00 AM",668,-10315398.35,3842561.46
Livingston,,"3/16/2020, 11:00 AM",669,-10101041.54,3561580.815
Madison,,"3/16/2020, 11:00 AM",670,-10157391.47,3811637.433
Morehouse,,"3/16/2020, 11:00 AM",671,-10219329.63,3871499.856
Natchitoches,,"3/16/2020, 11:00 AM",672,-10363432.71,3727167.025
Orleans,79,"3/16/2020, 11:00 AM",673,-10005685.26,3512320.62
Ouachita,,"3/16/2020, 11:00 AM",674,-10258625.41,3826287.704
Out of State,1,"3/16/2020, 11:00 AM",675,0,0
Parish Under Investigation,,"3/16/2020, 11:00 AM",676,0,0
Plaquemines,,"3/16/2020, 11:00 AM",677,-10001555.31,3456784.848
Pointe Coupee,,"3/16/2020, 11:00 AM",678,-10193113.89,3581957.375
Rapides,,"3/16/2020, 11:00 AM",679,-10300748.71,3658620.138
Red River,,"3/16/2020, 11:00 AM",680,-10390550.14,3775561.315
Richland,,"3/16/2020, 11:00 AM",681,-10211648.59,3824147.526
Sabine,,"3/16/2020, 11:00 AM",682,-10411411.41,3707251.332
St. Bernard,2,"3/16/2020, 11:00 AM",683,-9993785.21,3485216.395
St. Charles,3,"3/16/2020, 11:00 AM",684,-10059096.35,3488646.539
St. Helena,,"3/16/2020, 11:00 AM",685,-10097824.41,3609672.115
St. James,,"3/16/2020, 11:00 AM",686,-10107397.88,3506939.912
St. John the Baptist,1,"3/16/2020, 11:00 AM",687,-10079623.67,3513462.898
St. Landry,,"3/16/2020, 11:00 AM",688,-10242038.81,3580798.537
St. Martin,,"3/16/2020, 11:00 AM",689,-10210980.67,3532937.295
St. Mary,,"3/16/2020, 11:00 AM",690,-10180345.54,3468099.931
St. Tammany,5,"3/16/2020, 11:00 AM",691,-10011930.29,3561118.535
Tangipahoa,,"3/16/2020, 11:00 AM",692,-10064617.8,3586895.275
Tensas,,"3/16/2020, 11:00 AM",693,-10167922.29,3763563.972
Terrebonne,2,"3/16/2020, 11:00 AM",694,-10113097.44,3431495.998
Union,,"3/16/2020, 11:00 AM",695,-10283126.83,3873039.193
Vermilion,,"3/16/2020, 11:00 AM",696,-10277416.14,3483772.466
Vernon,,"3/16/2020, 11:00 AM",697,-10373206.56,3646859.666
Washington,,"3/16/2020, 11:00 AM",698,-10023262.61,3613735.316
Webster,,"3/16/2020, 11:00 AM",699,-10390004.67,3857402.163
West Baton Rouge,,"3/16/2020, 11:00 AM",700,-10164894.4,3563268.667
West Carroll,,"3/16/2020, 11:00 AM",701,-10180913.27,3867302.808
West Feliciana,,"3/16/2020, 11:00 AM",702,-10176004.08,3616641.565
Winn,,"3/16/2020, 11:00 AM",703,-10312270.27,3756026.281
Acadia,,"3/17/2020, 11:00 AM",704,-10287256.78,3540974.193
Allen,,"3/17/2020, 11:00 AM",705,-10333543.43,3587782.932
Calcasieu,,"3/20/2020, 11:00 AM",706,-10392565.02,3533072.576
Caldwell,,"3/20/2020, 11:00 AM",707,-10254373.01,3775449.626
Cameron,,"3/20/2020, 11:00 AM",708,-10370134.14,3493112.752
Catahoula,,"3/20/2020, 11:00 AM",709,-10230428.18,3715327.443
Claiborne,,"3/20/2020, 11:00 AM",710,-10352233.97,3871825.723
Concordia,,"3/20/2020, 11:00 AM",711,-10201318.14,3690859.394
De Soto,,"3/20/2020, 11:00 AM",712,-10434577,3770825.301
East Baton Rouge,7,"3/20/2020, 11:00 AM",713,-10140715.81,3572952.045
East Carroll,,"3/20/2020, 11:00 AM",714,-10156233.74,3859896.395
East Feliciana,,"3/20/2020, 11:00 AM",715,-10135138.7,3612660.396
Evangeline,,"3/20/2020, 11:00 AM",716,-10286577.73,3597627.731
Franklin,,"3/20/2020, 11:00 AM",717,-10205069.6,3780849.991
Grant,,"3/20/2020, 11:00 AM",718,-10303676.41,3710901.191
Iberia,,"3/20/2020, 11:00 AM",719,-10213919.5,3499442.345
Iberville,,"3/20/2020, 11:00 AM",720,-10170170.94,3531648.979
Jackson,,"3/20/2020, 11:00 AM",721,-10303487.16,3803043.454
Jefferson,90,"3/20/2020, 11:00 AM",722,-10033014.2,3468945.983
Jefferson Davis,,"3/20/2020, 11:00 AM",723,-10332018.35,3538039.026
La Salle,,"3/20/2020, 11:00 AM",724,-10259259.93,3720999.218
Lafayette,7,"3/20/2020, 11:00 AM",725,-10248506.47,3530168.865
Lafourche,5,"3/20/2020, 11:00 AM",726,-10067322.87,3448429.516
Lincoln,,"3/20/2020, 11:00 AM",727,-10315398.35,3842561.46
Livingston,1,"3/20/2020, 11:00 AM",728,-10101041.54,3561580.815
Madison,,"3/20/2020, 11:00 AM",729,-10157391.47,3811637.433
Morehouse,,"3/20/2020, 11:00 AM",730,-10219329.63,3871499.856
Natchitoches,,"3/20/2020, 11:00 AM",731,-10363432.71,3727167.025
Orleans,299,"3/20/2020, 11:00 AM",732,-10005685.26,3512320.62
Ouachita,,"3/20/2020, 11:00 AM",733,-10258625.41,3826287.704
Out of State,,"3/20/2020, 11:00 AM",734,0,0
Parish Under Investigation,6,"3/20/2020, 11:00 AM",735,0,0
Plaquemines,1,"3/20/2020, 11:00 AM",736,-10001555.31,3456784.848
Pointe Coupee,,"3/20/2020, 11:00 AM",737,-10193113.89,3581957.375
Rapides,1,"3/20/2020, 11:00 AM",738,-10300748.71,3658620.138
Red River,,"3/20/2020, 11:00 AM",739,-10390550.14,3775561.315
Richland,,"3/20/2020, 11:00 AM",740,-10211648.59,3824147.526
Sabine,,"3/20/2020, 11:00 AM",741,-10411411.41,3707251.332
St. Bernard,5,"3/20/2020, 11:00 AM",742,-9993785.21,3485216.395
St. Charles,5,"3/20/2020, 11:00 AM",743,-10059096.35,3488646.539
St. Helena,,"3/20/2020, 11:00 AM",744,-10097824.41,3609672.115
St. James,1,"3/20/2020, 11:00 AM",745,-10107397.88,3506939.912
St. John the Baptist,4,"3/20/2020, 11:00 AM",746,-10079623.67,3513462.898
St. Landry,2,"3/20/2020, 11:00 AM",747,-10242038.81,3580798.537
St. Martin,,"3/20/2020, 11:00 AM",748,-10210980.67,3532937.295
St. Mary,,"3/20/2020, 11:00 AM",749,-10180345.54,3468099.931
St. Tammany,10,"3/20/2020, 11:00 AM",750,-10011930.29,3561118.535
Tangipahoa,,"3/20/2020, 11:00 AM",751,-10064617.8,3586895.275
Tensas,,"3/20/2020, 11:00 AM",752,-10167922.29,3763563.972
Terrebonne,5,"3/20/2020, 11:00 AM",753,-10113097.44,3431495.998
Union,,"3/20/2020, 11:00 AM",754,-10283126.83,3873039.193
Vermilion,,"3/20/2020, 11:00 AM",755,-10277416.14,3483772.466
Vernon,,"3/20/2020, 11:00 AM",756,-10373206.56,3646859.666
Washington,2,"3/20/2020, 11:00 AM",757,-10023262.61,3613735.316
Webster,,"3/20/2020, 11:00 AM",758,-10390004.67,3857402.163
West Baton Rouge,2,"3/20/2020, 11:00 AM",759,-10164894.4,3563268.667
West Carroll,,"3/20/2020, 11:00 AM",760,-10180913.27,3867302.808
West Feliciana,,"3/20/2020, 11:00 AM",761,-10176004.08,3616641.565
Winn,,"3/20/2020, 11:00 AM",762,-10312270.27,3756026.281
Acadia,,"3/21/2020, 11:00 AM",763,-10287256.78,3540974.193
Allen,,"3/21/2020, 11:00 AM",764,-10333543.43,3587782.932
Ascension,3,"3/21/2020, 11:00 AM",765,-10120199.62,3529750.239
Assumption,1,"3/21/2020, 11:00 AM",766,-10137042.26,3490821.665
Avoyelles,,"3/21/2020, 11:00 AM",767,-10241549,3642689.415
Beauregard,,"3/21/2020, 11:00 AM",768,-10390928.62,3587216.17
Bienville,,"3/21/2020, 11:00 AM",769,-10358946.54,3809003.115
Bossier,5,"3/21/2020, 11:00 AM",770,-10420083.2,3852857.003
Caddo,13,"3/21/2020, 11:00 AM",771,-10450952.09,3839827.799
Calcasieu,4,"3/21/2020, 11:00 AM",772,-10392565.02,3533072.576
Caldwell,,"3/21/2020, 11:00 AM",773,-10254373.01,3775449.626
Cameron,,"3/21/2020, 11:00 AM",774,-10370134.14,3493112.752
Catahoula,1,"3/21/2020, 11:00 AM",775,-10230428.18,3715327.443
Claiborne,,"3/21/2020, 11:00 AM",776,-10352233.97,3871825.723
Concordia,,"3/21/2020, 11:00 AM",777,-10201318.14,3690859.394
De Soto,2,"3/21/2020, 11:00 AM",778,-10434577,3770825.301
East Baton Rouge,8,"3/21/2020, 11:00 AM",779,-10140715.81,3572952.045
East Carroll,,"3/21/2020, 11:00 AM",780,-10156233.74,3859896.395
East Feliciana,,"3/21/2020, 11:00 AM",781,-10135138.7,3612660.396
Evangeline,1,"3/21/2020, 11:00 AM",782,-10286577.73,3597627.731
Franklin,,"3/21/2020, 11:00 AM",783,-10205069.6,3780849.991
Grant,,"3/21/2020, 11:00 AM",784,-10303676.41,3710901.191
Iberia,,"3/21/2020, 11:00 AM",785,-10213919.5,3499442.345
Iberville,,"3/21/2020, 11:00 AM",786,-10170170.94,3531648.979
Jackson,,"3/21/2020, 11:00 AM",787,-10303487.16,3803043.454
Jefferson,116,"3/21/2020, 11:00 AM",788,-10033014.2,3468945.983
Jefferson Davis,,"3/21/2020, 11:00 AM",789,-10332018.35,3538039.026
La Salle,,"3/21/2020, 11:00 AM",790,-10259259.93,3720999.218
Lafayette,6,"3/21/2020, 11:00 AM",791,-10248506.47,3530168.865
Lafourche,5,"3/21/2020, 11:00 AM",792,-10067322.87,3448429.516
Lincoln,,"3/21/2020, 11:00 AM",793,-10315398.35,3842561.46
