"Week","HighwayClass","crashCount","Pedestrian","Bicycle","NonMotorist","Motorcycle","Fatal","iceCrashes","icePresent","home","covid","holiday","5-MA","4-MA","2x4-MA","26-MA","dn_crashes","season_adjust","dn_multi","season_adjust_multi","stl_dn_crashes","stl_season_adjust"
2018 W01,"20",109,1,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,132.284485946746,NA,134.847087433435,116.581649836113,133.13157681316
2018 W02,"20",114,2,0,2,0,0,0,0,0,0,0,NA,123.25,NA,NA,NA,125.069101331361,NA,125.985251736494,127.807004880881,126.620938764099
2018 W03,"20",145,2,1,3,1,0,69,1,0,0,1,122,125.25,124.25,NA,NA,151.026793639053,NA,151.916123291114,138.845675261349,146.296985379336
2018 W04,"20",125,2,0,2,0,0,0,0,0,0,0,128.6,132.25,128.75,NA,NA,141.984485946746,NA,145.854385985004,123.553393361341,141.30398427505
2018 W05,"20",117,2,0,2,0,0,0,0,0,0,0,127.8,123.5,127.875,NA,NA,114.711409023669,NA,114.378678718954,133.482831577183,123.089263054915
2018 W06,"20",142,2,0,2,2,0,0,0,0,0,0,125,125,124.25,NA,NA,147.063332100592,NA,148.28130042,136.052587913468,145.234223714335
2018 W07,"20",110,2,1,3,1,0,0,0,0,0,1,126,128.25,126.625,NA,NA,117.446024408284,NA,117.543261450672,126.961433693444,122.040094930065
2018 W08,"20",131,2,0,2,1,1,0,0,0,0,0,131.6,129,128.625,NA,NA,133.219101331361,NA,133.615850957987,133.228649085951,136.487596533264
2018 W09,"20",130,0,0,0,1,2,0,0,0,0,0,136,142.5,135.75,NA,NA,133.765255177515,NA,134.541474890827,136.239602198848,132.191360416073
2018 W10,"20",145,3,0,3,2,0,0,0,0,0,0,146,149.75,146.125,NA,NA,142.301793639053,NA,140.797708330058,143.617070516869,139.528609093758
2018 W11,"20",164,4,1,5,0,0,0,0,0,0,0,147.6,152,150.875,NA,NA,156.746024408284,NA,153.253945758119,151.01408390396,150.846312702373
2018 W12,"20",160,1,2,2,2,0,0,0,0,0,0,144.8,144.75,148.375,NA,NA,153.561409023669,NA,152.875405394225,145.148113809736,152.427847559421
2018 W13,"20",139,3,0,3,5,1,0,0,0,0,1,143.8,138.75,141.75,133.769230769231,NA,139.247947485207,NA,140.352118857128,137.13061015569,139.160915976292
2018 W14,"20",116,1,1,2,0,1,0,0,0,0,0,144.4,140.5,139.625,133.653846153846,NA,112.411409023669,NA,113.851345033267,133.34506802895,119.662022865858
2018 W15,"20",140,3,1,4,1,0,0,0,0,0,0,142.8,143.75,142.125,133.461538461538,NA,135.665255177515,NA,136.199591887213,140.945124194631,135.777531463001
2018 W16,"20",167,1,1,2,0,0,0,0,0,0,0,144.4,151.5,147.625,131.346153846154,NA,183.603716715976,NA,196.622150888897,128.854264444266,174.583955976191
2018 W17,"20",152,3,2,5,1,0,0,0,0,0,0,146.8,148.5,150,130.653846153846,NA,159.303716715976,NA,162.504456221508,131.235212553354,156.918572629927
2018 W18,"20",147,4,3,6,1,1,0,0,0,0,0,151.4,147.5,148,131.038461538462,NA,144.597947485207,NA,144.936849768799,134.822616741704,148.046733204402
2018 W19,"20",128,1,0,1,2,0,0,0,0,0,0,145.6,144,145.75,130.807692307692,NA,118.065255177515,NA,118.488068373204,138.607694901109,124.977219807822
2018 W20,"20",163,1,2,3,1,0,0,0,0,0,0,136.6,134,139,131.961538461538,NA,160.186409023669,NA,160.193299765475,140.991246381396,157.309233090359
2018 W21,"20",138,0,0,0,0,0,0,0,0,0,0,130.8,131.5,132.75,131.730769230769,NA,140.446024408284,NA,141.058586112092,133.327005737797,139.689038496783
2018 W22,"20",107,1,0,1,0,0,0,0,0,0,1,128.8,120.25,125.875,132.5,NA,122.284485946746,NA,123.464467769763,114.970227712449,126.764113988538
2018 W23,"20",118,1,1,2,0,0,0,0,0,0,0,122.8,119,119.625,132.153846153846,NA,130.036409023669,NA,131.154438796122,121.330302115338,131.122337052057
2018 W24,"20",118,3,0,3,1,0,0,0,0,0,0,119.2,122.25,120.625,130.5,NA,128.459485946746,NA,129.888371219999,122.279901031869,129.891035601933
2018 W25,"20",133,1,2,3,2,1,0,0,0,0,0,119,119.25,120.75,130.307692307692,NA,145.57487056213,NA,149.108855744901,124.913296623748,141.975937476463
2018 W26,"20",120,2,0,2,2,0,0,0,0,0,0,117.2,117,118.125,131.576923076923,NA,136.507562869822,NA,138.512806369134,118.076525355202,135.531006211416
2018 W27,"20",106,2,0,2,0,0,0,0,0,0,1,111.6,106.25,111.625,131.5,120.581860207101,118.773909023669,105.111161967361,118.531679564196,118.522566065398,120.803262967627
2018 W28,"20",109,1,1,2,2,0,0,0,0,0,0,106.4,103,104.625,130.653846153846,116.023206360947,126.447947485207,108.045990998941,127.33268215093,116.09931149078,125.944815008653
2018 W29,"20",90,1,1,2,1,0,0,0,0,0,0,107.8,108.25,105.625,130.884615384615,116.059744822485,107.353716715976,89.2157099120557,104.634855482959,113.312292981539,109.450130984302
2018 W30,"20",107,2,3,5,0,2,0,0,0,0,0,113.8,115,111.625,130.076923076923,118.119360207101,121.832562869822,106.080522105063,122.246354358586,116.847671854493,122.633049577755
2018 W31,"20",127,1,2,3,1,1,0,0,0,0,0,120,127.5,121.25,131.307692307692,123.953975591716,135.613332100592,125.979918725694,135.229428162116,123.112295095136,136.08672380352
2018 W32,"20",136,2,0,2,1,1,0,0,0,0,0,127,132,129.75,131.961538461538,125.346283284024,142.778716715976,134.911856163864,143.771004349469,128.287943468251,139.61203062184
2018 W33,"20",140,3,1,4,1,0,0,0,0,0,0,135.6,137.75,134.875,131.653846153846,134.738590976331,137.097947485207,138.966202681114,136.292259992771,135.92704737879,135.673881902736
2018 W34,"20",125,3,1,4,1,0,0,0,0,0,0,137.4,137.75,137.75,130.961538461538,144.098206360947,112.690255177515,124.139136569864,113.451867052361,140.628818581629,115.673065891332
2018 W35,"20",150,1,1,2,0,0,0,0,0,0,0,134.4,133,135.375,132.115384615385,145.694360207101,136.257562869822,148.972158944306,135.625603916239,143.141402492706,137.86143717169
2018 W36,"20",136,2,0,2,2,0,0,0,1,0,1,137.4,140.5,136.75,132.884615384615,140.371283284024,127.330639792899,135.042509447747,126.103347059696,138.1847166752,128.519078180631
2018 W37,"20",121,1,2,3,0,0,0,0,0,0,0,146.8,146,143.25,133.153846153846,144.782821745562,107.178716715976,120.16809719208,108.94727157562,144.213317737768,107.191432309498
2018 W38,"20",155,4,1,5,2,1,0,0,1,0,0,139.6,140.5,143.25,133.692307692308,140.202052514793,145.24987056213,153.891731244491,144.575790442278,139.377239134115,145.728466104586
2018 W39,"20",172,5,2,7,1,0,0,0,1,0,0,136,139.75,140.125,133.076923076923,157.446283284024,144.746024408284,170.928842111461,139.456517411671,157.585184477478,144.221475952658
2018 W40,"20",114,2,1,3,0,0,0,0,0,0,0,146.4,144.25,142,132.923076923077,145.484744822485,98.919101331361,113.228256452176,100.638326880698,144.241534730903,99.2660808906684
2018 W41,"20",118,1,1,2,0,0,0,0,1,0,0,141.6,134,139.125,133.846153846154,143.978975591716,104.67487056213,117.198679875668,104.695556244441,142.064646871893,105.143923941113
2018 W42,"20",173,0,1,1,2,0,0,0,1,0,0,143,150.25,142.125,135,143.555898668639,159.472947485207,171.799833870517,156.056217009607,143.195532752127,158.646348812742
2018 W43,"20",131,2,1,2,1,2,0,0,0,0,0,149.2,157,153.625,134.807692307692,140.811667899408,119.101793639053,130.080963638032,118.476158701036,139.331014909711,120.144177407021
2018 W44,"20",179,2,3,5,3,0,0,0,1,0,0,156.6,152.5,154.75,133.769230769231,158.619360207101,148.467178254438,177.890476462748,142.115029228237,160.050502941656,147.058000126939
2018 W45,"20",145,2,1,3,1,0,0,0,0,0,0,146,149.75,151.125,132.884615384615,138.909744822485,133.676793639053,143.96566396253,131.967354626832,139.161969448992,133.579844371467
2018 W46,"20",155,1,1,2,1,2,0,0,1,0,0,147.2,139.25,144.5,131.692307692308,136.252052514793,145.834485946746,153.867639370414,143.907792704154,138.892382096523,143.482742475799
2018 W47,"20",120,1,0,1,1,0,0,0,0,0,1,139,137.5,138.375,131.769230769231,139.982821745562,106.546024408284,119.152930053705,107.178782916351,142.086541845057,104.921893479129
2018 W48,"20",137,2,1,3,0,0,0,0,0,0,0,135,130,133.75,131.807692307692,112.65012943787,150.513332100592,135.77331999074,154.7621961683,114.513957222961,149.127788853088
2018 W49,"20",138,2,0,2,3,0,0,0,0,0,0,133.4,136.75,133.375,130.346153846154,133.357821745562,130.497947485207,136.968179968986,129.860503711023,136.22006111074,128.054995717172
2018 W50,"20",125,4,0,4,0,1,0,0,0,0,0,130.2,128.5,132.625,130.846153846154,141.667437130178,108.861409023669,124.125639731463,109.757435632206,142.872573231901,108.035794347874
2018 W51,"20",147,2,0,2,1,0,0,0,0,0,0,123.2,119.5,124,130.153846153846,135.223206360947,136.997947485207,145.917919525142,135.499365616091,135.536297292424,137.005381039215
2018 W52,"20",104,1,1,2,0,0,0,0,0,0,1,122.2,121.5,120.5,128.730769230769,103.292437130178,125.515255177515,102.982830851883,126.950534063019,104.4102821693,124.805999316459
2019 W01,"20",102,0,1,1,0,0,0,0,0,0,1,121.2,114.75,118.125,129.807692307692,101.080898668639,125.284485946746,100.985351244431,126.187182735875,100.275009847853,126.615874792027
2019 W02,"20",133,3,1,4,2,0,0,0,0,0,0,112.2,114.25,114.5,130.653846153846,112.940514053254,144.069101331361,131.814746798168,146.982793692577,111.770058649012,145.795429144989
2019 W03,"20",120,0,1,1,1,0,0,0,0,0,0,111.4,113.75,114,127.923076923077,117.877052514793,126.026793639053,118.985312464919,125.723688240922,122.020591255549,122.219499692572
2019 W04,"20",102,1,1,2,4,0,0,0,0,0,1,113.6,108.75,111.25,126.769230769231,106.977052514793,118.984485946746,101.03988623858,119.017178963764,107.499760360561,118.414933741681
2019 W05,"20",100,3,0,3,2,2,0,0,0,0,0,108.8,106,107.375,124.192307692308,125.807821745562,97.7114090236686,99.2085479009881,97.7595544606446,118.984889218367,104.604408037996
2019 W06,"20",113,1,0,1,0,0,0,0,0,0,0,110.2,112.25,109.125,122.884615384615,117.773206360947,118.063332100592,112.03938599127,117.99849963,119.82187447597,116.442025934513
2019 W07,"20",109,2,0,2,0,0,0,0,0,0,0,120,125,118.625,121.846153846154,114.880898668639,116.446024408284,108.047840954249,116.474686346575,111.62091460925,120.317588955353
2019 W08,"20",127,1,1,2,1,0,0,0,0,0,0,119.6,121.25,123.125,121.653846153846,120.030898668639,129.219101331361,125.940401000848,129.535977646293,117.273950471795,132.339156246929
2019 W09,"20",151,0,0,0,0,0,0,0,0,0,0,123.8,127.5,124.375,119.923076923077,118.494360207101,154.765255177515,149.721776628642,156.275097757807,119.335971000933,153.951738871913
2019 W10,"20",98,0,0,0,0,0,0,0,0,0,1,129.4,130,128.75,118.5,124.563590976331,95.3017936390532,97.2191397847889,95.1598304575564,127.454913126636,92.602483208381
2019 W11,"20",134,1,0,1,2,0,0,0,0,0,0,131,126,128,117.576923076923,129.196283284024,126.746024408284,132.973123522447,125.219687387732,133.716975922256,122.110106874934
2019 W12,"20",137,2,1,3,2,0,0,0,0,0,0,129.2,137,131.5,116.461538461538,128.130898668639,130.561409023669,135.924339850636,130.899565868805,129.291236890419,129.305532368943
2019 W13,"20",135,0,1,1,1,0,0,0,0,0,0,137.6,138.5,137.75,116,120.530898668639,135.247947485207,133.871381758455,136.313208961959,121.28990790613,135.076547815403
2019 W14,"20",142,1,0,1,0,1,0,0,0,0,0,131.2,129.75,134.125,115.461538461538,124.184744822485,138.411409023669,140.844326742524,139.369749954516,118.6980520405,144.438090143206
2019 W15,"20",140,3,2,5,1,0,0,0,0,0,0,124,121.25,125.5,113.807692307692,125.219360207101,135.665255177515,138.873309134881,136.199591887213,125.416495276431,135.489333369447
2019 W16,"20",102,1,0,1,3,0,0,0,0,0,1,119.4,113.75,117.5,112.961538461538,103.992437130178,118.603716715976,101.004175776992,120.092571201602,112.367497685471,110.308017422579
2019 W17,"20",101,2,2,4,0,1,0,0,0,0,0,113.2,106.5,110.125,113.076923076923,112.927052514793,108.303716715976,100.101894336891,107.979934726134,115.287657807917,106.157543762306
2019 W18,"20",112,2,0,2,1,0,0,0,0,0,0,110.8,113,109.75,112.423076923077,122.478975591716,109.597947485207,111.080355548888,110.428076014323,120.059620540691,112.155267491704
2019 W19,"20",111,1,0,1,0,1,0,0,0,0,0,113.4,116.5,114.75,112.269230769231,129.588590976331,101.065255177515,110.141261437929,102.751371792388,124.438239967833,106.546334526734
2019 W20,"20",128,0,2,2,4,0,0,0,0,0,0,111.6,111.5,114,112.461538461538,122.02512943787,125.186409023669,126.944766864991,125.795965460005,125.190088923548,122.574571387023
2019 W21,"20",115,2,0,2,3,0,0,0,0,0,0,109.4,109,110.25,113.076923076923,116.813590976331,117.446024408284,114.014345121096,117.548821760076,117.736767840299,116.807978286278
2019 W22,"20",92,0,1,1,2,0,0,0,0,0,1,107.4,102.25,105.625,112.384615384615,103.830898668639,107.284485946746,91.1087938375538,106.156364811385,100.47773511102,110.847096831561
2019 W23,"20",101,3,2,5,0,0,0,0,0,0,0,105.4,103,102.625,112.923076923077,106.463590976331,113.036409023669,100.052664069341,112.259307783121,106.081481023432,114.023436735154
2019 W24,"20",101,2,0,2,4,0,0,0,0,0,0,100.8,103,103,113.653846153846,108.107821745562,111.459485946746,100.062341534637,111.17563977305,107.370475434695,112.514528139896
2019 W25,"20",118,3,1,4,0,2,0,0,0,0,0,100,99.75,101.375,112.115384615385,106.059744822485,130.57487056213,116.884878017482,132.292067502994,108.859892745395,127.8051966452
2019 W26,"20",92,0,1,1,0,0,0,0,0,0,0,97.8,97,98.375,112.115384615385,101.886667899408,108.507562869822,91.1030546770758,106.19315154967,102.788502391549,107.656672815052
2019 W27,"20",88,0,1,1,2,0,0,0,0,0,1,97.2,92,94.5,111.730769230769,105.697244822485,100.773909023669,87.1693871857287,98.4036585061246,104.38549987948,101.839761143125
2019 W28,"20",90,2,0,2,0,1,0,0,0,0,0,94.6,95.25,93.625,111.346153846154,100.792437130178,107.447947485207,89.1108192235052,105.137077005355,100.956996102847,107.048350735763
2019 W29,"20",98,1,1,2,0,1,0,0,0,0,0,92.8,94,94.625,112.461538461538,100.521283284024,115.353716715976,97.0334190326542,113.935731525888,98.844407255235,116.94102539938
2019 W30,"20",105,1,1,2,0,0,0,0,0,0,0,97,98.75,96.375,113.769230769231,102.965514053254,119.832562869822,103.981635533399,119.961375772444,101.837823351604,120.559291599115
2019 W31,"20",83,2,0,2,0,1,0,0,0,0,0,101.8,102.75,100.75,115.576923076923,109.232821745562,91.6133321005917,82.2500536944814,88.3782876965013,107.770129669555,92.2386675772678
2019 W32,"20",109,1,0,1,1,0,0,0,0,0,0,110.8,112.25,107.5,115.961538461538,111.115514053254,115.778716715976,108.022613484347,115.228231427148,112.633269640282,112.987209902644
2019 W33,"20",114,0,2,2,0,1,0,0,0,0,0,116.4,124.75,118.5,116.153846153846,120.786667899408,111.097947485207,113.058563834494,110.980840279827,120.412276920148,109.819884918882
2019 W34,"20",143,1,1,2,0,0,0,0,0,0,0,122.2,125.5,125.125,117.384615384615,130.069360207101,130.690255177515,141.897848507029,129.788935907901,125.965366196575,132.87847793856
2019 W35,"20",133,1,0,1,1,1,0,0,1,0,0,131,135.25,130.375,117.5,130.857821745562,119.257562869822,131.973194661538,120.254702139066,127.845455774566,120.610070656673
2019 W36,"20",112,3,1,4,0,0,0,0,0,0,1,127.6,123.75,129.5,118.076923076923,125.659744822485,103.330639792899,111.112321789803,103.849815225632,122.950875241008,104.116333486334
2019 W37,"20",153,2,1,3,0,0,0,0,1,0,0,126,124.25,124,120.115384615385,131.234744822485,139.178716715976,151.8267122752,137.759773149338,129.761334211535,137.917556811912
2019 W38,"20",97,2,0,2,0,1,0,0,0,0,0,125.8,129.25,126.75,120.384615384615,126.653975591716,87.2498705621302,96.2260608578545,90.4764624058129,123.672055793538,87.618517526012
2019 W39,"20",135,5,0,5,1,1,0,0,0,0,0,129.4,123.5,126.375,120.730769230769,142.955898668639,107.746024408284,134.053972938537,109.457150294044,140.931095392634,107.97116022302
2019 W40,"20",132,5,2,7,1,0,0,0,1,0,0,125,132,127.75,121.692307692308,129.340514053254,116.919101331361,130.9801419458,116.528589019755,128.843231527229,116.650524589726
2019 W41,"20",130,1,1,2,0,1,0,0,1,0,0,132.6,132,132,122,126.123206360947,116.67487056213,128.977442123921,115.342561964215,126.48769589952,116.597560718735
2019 W42,"20",131,0,2,2,0,0,0,0,0,0,0,137.4,138.75,135.375,122.730769230769,125.248206360947,117.472947485207,129.942279662254,118.169736579529,125.805926832114,117.870830287442
2019 W43,"20",135,1,1,2,0,0,1,1,1,0,0,135.2,136.5,137.625,122.423076923077,122.994360207101,123.101793639053,133.901008296811,122.093751333129,123.220473020685,124.047784600172
2019 W44,"20",159,3,0,3,1,0,0,0,0,0,0,135.8,137,136.75,123.461538461538,141.071283284024,128.467178254438,157.857987950476,126.236255012791,142.027242200568,128.832515921589
2019 W45,"20",121,2,0,2,2,0,0,0,0,0,0,139,140,138.5,123.423076923077,121.313590976331,109.676793639053,119.998780825052,110.124482136873,122.392578135925,110.058680487532
2019 W46,"20",133,2,2,4,0,1,0,0,0,0,0,131,124,132,123.384615384615,118.473206360947,123.834485946746,131.870324970668,123.482170513887,121.504542089286,122.538217035473
2019 W47,"20",147,2,0,2,1,0,0,0,1,0,0,122.4,122.75,123.375,122.115384615385,122.078975591716,133.546024408284,145.791309467687,131.29400907253,126.881144838626,130.753114787433
2019 W48,"20",95,1,0,1,0,0,0,0,1,0,1,129,128,125.375,120.884615384615,94.8135909763314,108.513332100592,94.009324290681,107.31685135758,97.0026637353714,108.223096391988
2019 W49,"20",116,2,1,3,0,0,0,0,0,0,0,127.4,122.5,125.25,121.769230769231,115.703975591716,108.497947485207,114.991162989857,109.158104568686,119.585601482311,106.23165914635
2019 W50,"20",154,3,0,3,2,1,0,0,0,0,0,118.2,124,123.25,121.307692307692,124.205898668639,137.861409023669,152.748732030191,135.221160698878,126.29376579532,137.223842948522
2019 W51,"20",125,2,0,2,0,0,0,0,0,0,0,121.8,123.25,123.625,120.538461538462,117.67512943787,114.997947485207,123.929903813601,115.220548993275,117.759925771224,116.458031087799
2019 W52,"20",101,2,0,2,0,0,0,0,0,0,1,118.2,109.25,116.25,118.038461538462,86.0328217455621,122.515255177515,99.8536429199495,123.288499426586,88.4112164422502,121.507088531955
